,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN
2162,467701901,운암산,운대리구간,운곡마을-갈림길-수도암 -운암산,0.34,쉬움,6,4
2163,427303804,운암정,읍하리구간, ,0.78,쉬움,14,10
2164,461502501,운월산,광천리구간, ,2.1,쉬움,79,55
2165,428107404,운이덕,북3리 쌍둥이민박앞-북3리구간, ,4.98,쉬움,88,62
2166,427704401,운장산,남곡리구간, ,2.7,쉬움,101,71
2167,457202301,운장산,신월리구간, ,1.54,쉬움,58,40
2168,471103201,운제산,항사리구간, ,0.14,쉬움,2,2
2169,471105404,운제산구짐이골,산여리구간, ,0.12,쉬움,2,1
2170,447301601,운주산,미곡리구간, ,0.93,쉬움,16,11
2171,471103301,운주산, , ,0.84,쉬움,15,10
2172,491107904,운지악,남원리구간, ,0.04,쉬움,1,0
2173,413900701,운흥산, , ,0.41,쉬움,7,5
2174,477601201,울련산,신원리구간, ,1.66,쉬움,29,21
2175,479400103,울릉군숲길,천부리구간, ,5.63,쉬움,99,70
2176,422303401,울미산,고무릉리구간, ,5.29,쉬움,93,65
2177,428203304,울산바위,설악동구간, ,5,쉬움,188,131
2178,481901001,웅산,북부동구간, ,0.12,쉬움,2,1
2179,488604601,웅석봉,홍계리구간, ,3.22,쉬움,57,40
2180,491101601,원당봉,삼양일동구간,문강사,0.37,쉬움,7,5
2181,477303501,원당산,후죽리구간, ,1.82,쉬움,32,22
2182,428106201,원대봉, , ,7.9,쉬움,139,98
2183,421508204,원대제,교동구간, ,0.26,쉬움,5,3
2184,422303504,원덕읍사무소뒷산,호산리구간, ,0.58,쉬움,10,7
2185,457102601,원등산,신원리구간,밤재~절벽바위~정상,2.47,쉬움,44,31
2186,457104401,원등산,위봉마을구간, ,3.12,쉬움,55,39
2187,411900201,원미산, , ,0.09,쉬움,2,1
2188,447701501,원산,옥포리구간, ,0.2,쉬움,4,2
2189,447302701,원수산,오산 과 원수산 능선 연결부-원수산 간이화장실구간, ,1.19,쉬움,30,21
2190,491108004,원수악,동광리구간, ,0.59,쉬움,10,7
